Month,Year,Products,Quantity_000MT,Date,Product Group
April,2024,LPG,1037.624,01-04-2024,LPG
May,2024,LPG,1074.259,01-05-2024,LPG
June,2024,LPG,1077.888,01-06-2024,LPG
July,2024,LPG,1096.864,01-07-2024,LPG
August,2024,LPG,1047.093,01-08-2024,LPG
September,2024,LPG,1002.254,01-09-2024,LPG
October,2024,LPG,1039.503,01-10-2024,LPG
November,2024,LPG,1025.439,01-11-2024,LPG
December,2024,LPG,1123.283,01-12-2024,LPG
January,2025,LPG,1183.298,01-01-2025,LPG
February,2025,LPG,1008.668,01-02-2025,LPG
March,2025,LPG,1071.629,01-03-2025,LPG
April,2024,NAPHTHA,1535.214,01-04-2024,Naphtha
May,2024,NAPHTHA,1565.034,01-05-2024,Naphtha
June,2024,NAPHTHA,1458.225,01-06-2024,Naphtha
July,2024,NAPHTHA,1738.593,01-07-2024,Naphtha
August,2024,NAPHTHA,1458.393,01-08-2024,Naphtha
September,2024,NAPHTHA,1442.931,01-09-2024,Naphtha
October,2024,NAPHTHA,1505.6,01-10-2024,Naphtha
November,2024,NAPHTHA,1408.365,01-11-2024,Naphtha
December,2024,NAPHTHA,1525.887,01-12-2024,Naphtha
January,2025,NAPHTHA,1527.007,01-01-2025,Naphtha
February,2025,NAPHTHA,1284.13,01-02-2025,Naphtha
March,2025,NAPHTHA,1475.029,01-03-2025,Naphtha
April,2024,MS-VI,3165.955,01-04-2024,MS / Petrol
May,2024,MS-VI,3595.636,01-05-2024,MS / Petrol
June,2024,MS-VI,3353.095,01-06-2024,MS / Petrol
July,2024,MS-VI,3303.029,01-07-2024,MS / Petrol
August,2024,MS-VI,3459.988,01-08-2024,MS / Petrol
September,2024,MS-VI,3319.863,01-09-2024,MS / Petrol
October,2024,MS-VI,3283.558,01-10-2024,MS / Petrol
November,2024,MS-VI,3578.84,01-11-2024,MS / Petrol
December,2024,MS-VI,3814.516,01-12-2024,MS / Petrol
January,2025,MS-VI,3776.0,01-01-2025,MS / Petrol
February,2025,MS-VI,3631.233,01-02-2025,MS / Petrol
March,2025,MS-VI,3897.258,01-03-2025,MS / Petrol
April,2024,MS Others,491.893,01-04-2024,MS / Petrol
May,2024,MS Others,531.323,01-05-2024,MS / Petrol
June,2024,MS Others,495.314,01-06-2024,MS / Petrol
July,2024,MS Others,513.165,01-07-2024,MS / Petrol
August,2024,MS Others,525.122,01-08-2024,MS / Petrol
September,2024,MS Others,534.537,01-09-2024,MS / Petrol
October,2024,MS Others,580.95,01-10-2024,MS / Petrol
November,2024,MS Others,408.79,01-11-2024,MS / Petrol
December,2024,MS Others,563.172,01-12-2024,MS / Petrol
January,2025,MS Others,471.594,01-01-2025,MS / Petrol
February,2025,MS Others,433.605,01-02-2025,MS / Petrol
March,2025,MS Others,536.151,01-03-2025,MS / Petrol
April,2024,ATF,1456.019,01-04-2024,ATF
May,2024,ATF,1527.766,01-05-2024,ATF
June,2024,ATF,1407.73,01-06-2024,ATF
July,2024,ATF,1474.853,01-07-2024,ATF
August,2024,ATF,1419.324,01-08-2024,ATF
September,2024,ATF,1518.019,01-09-2024,ATF
October,2024,ATF,1518.127,01-10-2024,ATF
November,2024,ATF,1555.362,01-11-2024,ATF
December,2024,ATF,1660.156,01-12-2024,ATF
January,2025,ATF,1424.581,01-01-2025,ATF
February,2025,ATF,1303.339,01-02-2025,ATF
March,2025,ATF,1489.253,01-03-2025,ATF
April,2024,SKO,104.616,01-04-2024,SKO
May,2024,SKO,45.543,01-05-2024,SKO
June,2024,SKO,120.26,01-06-2024,SKO
July,2024,SKO,75.584,01-07-2024,SKO
August,2024,SKO,101.239,01-08-2024,SKO
September,2024,SKO,75.005,01-09-2024,SKO
October,2024,SKO,76.994,01-10-2024,SKO
November,2024,SKO,98.11,01-11-2024,SKO
December,2024,SKO,86.761,01-12-2024,SKO
January,2025,SKO,87.427,01-01-2025,SKO
February,2025,SKO,71.731,01-02-2025,SKO
March,2025,SKO,65.216,01-03-2025,SKO
April,2024,HSD-VI,7835.843,01-04-2024,HSD
May,2024,HSD-VI,8097.378,01-05-2024,HSD
June,2024,HSD-VI,7525.977,01-06-2024,HSD
