Month,Year,Company Name,Quantity_000MT,Date
April,2023,ONGC,1510.0,01-04-2023
June,2023,ONGC,1500.0,01-06-2023
July,2023,OIL,280.0,01-07-2023
September,2023,JVC/ Private,460.0,01-09-2023
September,2023,Condensate,180.0,01-09-2023
January,2024,Condensate,190.0,01-01-2024
February,2024,ONGC,1450.0,01-02-2024
April,2022,ONGC,1560.0,01-04-2022
May,2022,JVC/ Private,570.0,01-05-2022
July,2022,OIL,260.0,01-07-2022
August,2022,JVC/ Private,520.0,01-08-2022
August,2022,Condensate,110.0,01-08-2022
October,2022,ONGC,1550.0,01-10-2022
October,2022,JVC/ Private,520.0,01-10-2022
October,2022,Condensate,110.0,01-10-2022
November,2022,JVC/ Private,520.0,01-11-2022
December,2022,Condensate,120.0,01-12-2022
January,2023,JVC/ Private,510.0,01-01-2023
March,2023,ONGC,1570.0,01-03-2023
March,2023,Condensate,120.0,01-03-2023
May,2023,OIL,280.0,01-05-2023
May,2023,Condensate,160.0,01-05-2023
June,2023,Condensate,170.0,01-06-2023
July,2023,JVC/ Private,500.0,01-07-2023
August,2023,ONGC,1520.0,01-08-2023
October,2023,JVC/ Private,470.0,01-10-2023
November,2023,ONGC,1470.0,01-11-2023
February,2024,JVC/ Private,440.0,01-02-2024
March,2024,Condensate,200.0,01-03-2024
April,2022,OIL,250.0,01-04-2022
April,2022,JVC/ Private,550.0,01-04-2022
April,2022,Condensate,110.0,01-04-2022
June,2022,ONGC,1550.0,01-06-2022
June,2022,OIL,260.0,01-06-2022
June,2022,Condensate,100.0,01-06-2022
December,2022,JVC/ Private,530.0,01-12-2022
January,2023,ONGC,1570.0,01-01-2023
February,2023,OIL,250.0,01-02-2023
April,2023,Condensate,120.0,01-04-2023
May,2023,ONGC,1560.0,01-05-2023
June,2023,JVC/ Private,480.0,01-06-2023
August,2023,OIL,280.0,01-08-2023
September,2023,ONGC,1470.0,01-09-2023
September,2023,OIL,270.0,01-09-2023
October,2023,OIL,290.0,01-10-2023
November,2023,OIL,280.0,01-11-2023
November,2023,JVC/ Private,450.0,01-11-2023
December,2023,ONGC,1530.0,01-12-2023
December,2023,Condensate,190.0,01-12-2023
January,2024,ONGC,1540.0,01-01-2024
March,2024,ONGC,1550.0,01-03-2024
March,2024,OIL,290.0,01-03-2024
May,2022,Condensate,100.0,01-05-2022
June,2022,JVC/ Private,530.0,01-06-2022
August,2022,OIL,260.0,01-08-2022
September,2022,ONGC,1510.0,01-09-2022
September,2022,JVC/ Private,500.0,01-09-2022
September,2022,Condensate,120.0,01-09-2022
November,2022,ONGC,1510.0,01-11-2022
November,2022,OIL,260.0,01-11-2022
December,2022,ONGC,1560.0,01-12-2022
January,2023,Condensate,130.0,01-01-2023
March,2023,OIL,280.0,01-03-2023
May,2023,JVC/ Private,500.0,01-05-2023
July,2023,ONGC,1530.0,01-07-2023
August,2023,JVC/ Private,490.0,01-08-2023
October,2023,Condensate,210.0,01-10-2023
November,2023,Condensate,200.0,01-11-2023
December,2023,OIL,290.0,01-12-2023
December,2023,JVC/ Private,450.0,01-12-2023
May,2022,OIL,270.0,01-05-2022
July,2022,ONGC,1560.0,01-07-2022
July,2022,JVC/ Private,530.0,01-07-2022
July,2022,Condensate,110.0,01-07-2022
September,2022,OIL,260.0,01-09-2022
January,2023,OIL,270.0,01-01-2023
April,2023,OIL,270.0,01-04-2023
April,2023,JVC/ Private,490.0,01-04-2023
June,2023,OIL,270.0,01-06-2023
July,2023,Condensate,190.0,01-07-2023
August,2023,Condensate,200.0,01-08-2023
October,2023,ONGC,1530.0,01-10-2023
January,2024,OIL,290.0,01-01-2024
January,2024,JVC/ Private,480.0,01-01-2024
February,2024,OIL,260.0,01-02-2024
February,2024,Condensate,180.0,01-02-2024
March,2024,JVC/ Private,470.0,01-03-2024
May,2022,ONGC,1610.0,01-05-2022
August,2022,ONGC,1540.0,01-08-2022
October,2022,OIL,270.0,01-10-2022
November,2022,Condensate,120.0,01-11-2022
December,2022,OIL,270.0,01-12-2022
February,2023,ONGC,1360.0,01-02-2023
February,2023,JVC/ Private,450.0,01-02-2023
February,2023,Condensate,110.0,01-02-2023
March,2023,JVC/ Private,490.0,01-03-2023
April,2024,ONGC,1480.0,01-04-2024
May,2024,ONGC,1510.0,01-05-2024
June,2024,ONGC,1450.0,01-06-2024
July,2024,ONGC,1500.0,01-07-2024
August,2024,ONGC,1490.0,01-08-2024
September,2024,ONGC,1400.0,01-09-2024
October,2024,ONGC,1440.0,01-10-2024
November,2024,ONGC,1420.0,01-11-2024
December,2024,ONGC,1480.0,01-12-2024
January,2025,ONGC,1470.0,01-01-2025
February,2025,ONGC,1320.0,01-02-2025
March,2025,ONGC,1470.0,01-03-2025
April,2024,OIL,280.0,01-04-2024
May,2024,OIL,290.0,01-05-2024
June,2024,OIL,290.0,01-06-2024
July,2024,OIL,300.0,01-07-2024
August,2024,OIL,300.0,01-08-2024
September,2024,OIL,280.0,01-09-2024
October,2024,OIL,290.0,01-10-2024
November,2024,OIL,280.0,01-11-2024
December,2024,OIL,290.0,01-12-2024
January,2025,OIL,290.0,01-01-2025
February,2025,OIL,260.0,01-02-2025
March,2025,OIL,290.0,01-03-2025
April,2024,JVC/ Private,460.0,01-04-2024
May,2024,JVC/ Private,470.0,01-05-2024
June,2024,JVC/ Private,440.0,01-06-2024
July,2024,JVC/ Private,450.0,01-07-2024
August,2024,JVC/ Private,440.0,01-08-2024
September,2024,JVC/ Private,430.0,01-09-2024
October,2024,JVC/ Private,440.0,01-10-2024
November,2024,JVC/ Private,470.0,01-11-2024
December,2024,JVC/ Private,500.0,01-12-2024
January,2025,JVC/ Private,530.0,01-01-2025
February,2025,JVC/ Private,470.0,01-02-2025
March,2025,JVC/ Private,520.0,01-03-2025
April,2024,Condensate,191.889,01-04-2024
May,2024,Condensate,194.03,01-05-2024
June,2024,Condensate,179.664,01-06-2024
July,2024,Condensate,187.024,01-07-2024
August,2024,Condensate,183.187,01-08-2024
September,2024,Condensate,181.787,01-09-2024
October,2024,Condensate,191.033,01-10-2024
November,2024,Condensate,185.656,01-11-2024
December,2024,Condensate,193.545,01-12-2024
January,2025,Condensate,185.185,01-01-2025
February,2025,Condensate,164.572,01-02-2025
March,2025,Condensate,181.557,01-03-2025
April,2025,ONGC,1398.616,01-04-2025
May,2025,ONGC,1457.123,01-05-2025
June,2025,ONGC,1406.36,01-06-2025
July,2025,ONGC,1438.512,01-07-2025
August,2025,ONGC,1421.777,01-08-2025
September,2025,ONGC,1371.592,01-09-2025
October,2025,ONGC,1422.433,01-10-2025
November,2025,ONGC,1375.659,01-11-2025
December,2025,ONGC,1421.291,01-12-2025
January,2026,ONGC,1403.894,01-01-2026
February,2026,ONGC,1278.413,01-02-2026
March,2026,ONGC,1423.737,01-03-2026
April,2025,OIL,277.093,01-04-2025
May,2025,OIL,291.893,01-05-2025
June,2025,OIL,272.252,01-06-2025
July,2025,OIL,289.379,01-07-2025
August,2025,OIL,287.226,01-08-2025
September,2025,OIL,266.738,01-09-2025
October,2025,OIL,288.344,01-10-2025
November,2025,OIL,279.077,01-11-2025
December,2025,OIL,285.404,01-12-2025
January,2026,OIL,296.55,01-01-2026
February,2026,OIL,273.156,01-02-2026
March,2026,OIL,315.896,01-03-2026
April,2025,JVC/ Private,498.858,01-04-2025
May,2025,JVC/ Private,507.431,01-05-2025
June,2025,JVC/ Private,501.227,01-06-2025
July,2025,JVC/ Private,509.066,01-07-2025
August,2025,JVC/ Private,503.452,01-08-2025
September,2025,JVC/ Private,473.859,01-09-2025
October,2025,JVC/ Private,484.167,01-10-2025
November,2025,JVC/ Private,466.79,01-11-2025
December,2025,JVC/ Private,474.01,01-12-2025
January,2026,JVC/ Private,471.904,01-01-2026
February,2026,JVC/ Private,414.211,01-02-2026
March,2026,JVC/ Private,432.273,01-03-2026
April,2025,Condensate,171.509,01-04-2025
May,2025,Condensate,174.199,01-05-2025
June,2025,Condensate,169.762,01-06-2025
July,2025,Condensate,177.518,01-07-2025
August,2025,Condensate,176.283,01-08-2025
September,2025,Condensate,156.626,01-09-2025
October,2025,Condensate,154.384,01-10-2025
November,2025,Condensate,162.652,01-11-2025
December,2025,Condensate,166.287,01-12-2025
January,2026,Condensate,166.962,01-01-2026
February,2026,Condensate,142.733,01-02-2026
March,2026,Condensate,155.261,01-03-2026
