Month,Year,Products,Quantity (000 Metric Tonnes),updated_date
April,2023,HSD Others,2298.86,29-04-2024
April,2023,Others,2587.04,29-04-2024
May,2023,MS-VI,2388.04,29-04-2024
May,2023,BITUMEN,507.71,29-04-2024
June,2023,LPG,1085.86,29-04-2024
June,2023,NAPHTHA,1478.84,29-04-2024
June,2023,HSD-VI,7254.32,29-04-2024
June,2023,LUBES,132.77,29-04-2024
June,2023,LSHS,49.73,29-04-2024
July,2023,ATF,1439.24,29-04-2024
July,2023,FO,889.83,29-04-2024
July,2023,Others,2598.4,29-04-2024
August,2023,LPG,984.15,29-04-2024
August,2023,MS-VI,2484.39,29-04-2024
August,2023,MS Others,1350.37,29-04-2024
August,2023,HSD Others,2681.54,29-04-2024
August,2023,RPC/Petcoke,1247.57,29-04-2024
September,2023,MS-VI,2434.11,29-04-2024
September,2023,Others,2666.26,29-04-2024
October,2023,MS-VI,2390.48,29-04-2024
October,2023,SKO,45.19,29-04-2024
November,2023,SKO,71.8,29-04-2024
November,2023,HSD-VI,7164.39,29-04-2024
November,2023,LSHS,51.45,29-04-2024
December,2023,LPG,1167.25,29-04-2024
December,2023,MS-VI,2750.64,29-04-2024
December,2023,RPC/Petcoke,1343.54,29-04-2024
January,2024,NAPHTHA,1688.6,29-04-2024
January,2024,LSHS,91.11,29-04-2024
February,2024,LPG,1008.63,29-04-2024
February,2024,HSD Others,2654.59,29-04-2024
March,2024,LPG,1153.33,29-04-2024
March,2024,NAPHTHA,1667.06,29-04-2024
March,2024,BITUMEN,636.64,29-04-2024
April,2022,FO,751.96,29-04-2024
April,2022,LSHS,57.93,29-04-2024
May,2022,MS-VI,2422.94,29-04-2024
May,2022,SKO,130.97,29-04-2024
May,2022,LUBES,104.36,29-04-2024
June,2022,LDO,45.24,29-04-2024
June,2022,LUBES,79.39,29-04-2024
June,2022,RPC/Petcoke,1266.82,29-04-2024
July,2022,LPG,1079.87,29-04-2024
July,2022,SKO,76.43,29-04-2024
July,2022,LUBES,79.38,29-04-2024
July,2022,FO,833.77,29-04-2024
August,2022,NAPHTHA,1419.68,29-04-2024
August,2022,MS Others,1071.46,29-04-2024
August,2022,LDO,38.59,29-04-2024
September,2022,HSD-VI,6200.32,29-04-2024
September,2022,BITUMEN,267.77,29-04-2024
